                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.3322,                0.90868,                 1.2548,                0.70419,                0.44075,                0.47568,                 0.2727,                 1.5662,                 1.0784,                  1.516,              0.0093264,              0.0093264,              0.0093264
                     86,                 1.2996,                0.89487,                 1.2557,                0.70801,                0.42452,                0.47274,                0.28144,                 1.5233,                 1.0649,                 1.4883,              0.0093107,              0.0093107,              0.0093107
                     87,                 1.2668,                0.85247,                  1.228,                  0.732,                 0.4872,                0.50756,                0.27698,                 1.5254,                 1.0164,                  1.502,              0.0092948,              0.0092948,              0.0092948
                     88,                 1.3191,                0.90112,                 1.2591,                0.74619,                0.51226,                0.50005,                0.26915,                 1.5831,                 1.0628,                 1.5228,              0.0092787,              0.0092787,              0.0092787
                     89,                 1.3068,                0.90479,                 1.2583,                0.66845,                0.47753,                0.46595,                0.25885,                 1.5751,                 1.1046,                 1.5352,              0.0092624,              0.0092624,              0.0092624
                     90,                 1.2797,                0.87093,                 1.2359,                0.73087,                0.49309,                0.50134,                0.28519,                 1.5484,                 1.0734,                 1.5036,               0.009246,               0.009246,               0.009246
                     91,                 1.2835,                0.87591,                  1.243,                0.69003,                0.50392,                0.48992,                0.28708,                 1.5608,                   1.06,                 1.5043,              0.0092294,              0.0092294,              0.0092294
                     92,                  1.273,                0.86398,                 1.2248,                0.73016,                0.49663,                0.50093,                0.29445,                 1.5495,                 1.0428,                 1.4909,              0.0092127,              0.0092127,              0.0092127
                     93,                 1.2651,                0.86298,                 1.2323,                0.62844,                0.51817,                0.44398,                 0.2476,                  1.555,                 1.0686,                 1.5071,              0.0091958,              0.0091958,              0.0091958
                     94,                 1.2748,                0.88263,                 1.2383,                0.53914,                 0.4525,                0.47356,                0.26152,                 1.5503,                  1.043,                 1.5049,              0.0091787,              0.0091787,              0.0091787
                     95,                 1.2825,                 0.8753,                 1.2374,                0.73309,                0.45662,                0.44427,                0.25365,                 1.5684,                 1.1402,                 1.5209,              0.0091614,              0.0091614,              0.0091614
                     96,                 1.2557,                0.86815,                 1.2242,                0.78204,                0.43955,                0.46114,                0.26752,                 1.5662,                 1.0878,                 1.4956,               0.009144,               0.009144,               0.009144
                     97,                 1.2731,                0.88441,                 1.2452,                0.74935,                0.41334,                0.46784,                0.27247,                 1.5482,                 1.0904,                 1.5131,              0.0091265,              0.0091265,              0.0091265
                     98,                 1.2804,                 0.8892,                 1.2405,                0.75971,                0.45625,                0.44701,                0.26277,                 1.5403,                 1.1101,                 1.5173,              0.0091088,              0.0091088,              0.0091088
                     99,                 1.2627,                0.87334,                 1.2229,                0.63893,                0.44701,                0.42367,                0.25118,                 1.5718,                 1.1395,                 1.5258,              0.0090909,              0.0090909,              0.0090909
                    100,                 1.2593,                0.85838,                 1.2203,                0.73021,                0.46428,                0.49323,                0.30097,                 1.5518,                 1.0112,                 1.5042,              0.0090728,              0.0090728,              0.0090728
                    101,                 1.2764,                0.89637,                 1.2412,                0.71131,                0.38971,                0.43743,                0.26661,                 1.5357,                 1.1076,                 1.5049,              0.0090546,              0.0090546,              0.0090546
                    102,                 1.2617,                0.86773,                  1.227,                0.72529,                0.48985,                0.50014,                0.30253,                 1.5239,                 0.9986,                 1.4728,              0.0090363,              0.0090363,              0.0090363
                    103,                 1.2635,                0.86287,                 1.2215,                0.65849,                0.46968,                0.45079,                0.27338,                 1.5447,                 1.0119,                  1.496,              0.0090178,              0.0090178,              0.0090178
                    104,                 1.2591,                0.84513,                 1.2136,                0.67948,                0.46064,                0.46538,                0.28097,                 1.5487,                 1.0249,                 1.5033,              0.0089991,              0.0089991,              0.0089991
                    105,                 1.2535,                0.85212,                 1.2172,                 0.5034,                0.50889,                0.48412,                 0.2965,                 1.5266,                  1.012,                 1.4877,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.2567,                0.84489,                 1.2253,                0.52405,                0.49768,                0.49701,                0.28285,                 1.5607,                  1.079,                  1.519,              0.0089613,              0.0089613,              0.0089613
                    107,                 1.2401,                0.85113,                 1.2134,                0.55123,                0.50382,                0.46794,                0.28359,                 1.5193,                 1.0305,                 1.4972,              0.0089421,              0.0089421,              0.0089421
                    108,                 1.2444,                0.84654,                 1.2142,                0.50157,                0.51437,                0.48638,                0.28868,                 1.5402,                 1.0167,                 1.5114,              0.0089228,              0.0089228,              0.0089228
                    109,                 1.2747,                0.85655,                 1.2377,                0.69883,                0.51265,                0.48722,                  0.281,                 1.5445,                 1.0239,                 1.5055,              0.0089034,              0.0089034,              0.0089034
                    110,                 1.2676,                0.86617,                 1.2314,                0.69302,                0.46061,                0.45596,                0.27104,                 1.5505,                 1.0596,                 1.5084,              0.0088838,              0.0088838,              0.0088838
                    111,                 1.2414,                0.84677,                 1.2153,                0.43925,                0.53003,                0.48589,                0.30516,                 1.4903,                 1.0206,                 1.4561,               0.008864,               0.008864,               0.008864
                    112,                 1.2468,                0.87461,                 1.2216,                0.54769,                0.47934,                 0.4882,                0.30317,                 1.5486,                 1.0383,                 1.5083,              0.0088441,              0.0088441,              0.0088441
                    113,                 1.2572,                0.86171,                 1.2262,                0.71163,                 0.5029,                0.50419,                0.28837,                 1.5451,                 1.0639,                 1.5099,              0.0088241,              0.0088241,              0.0088241
                    114,                 1.2373,                0.84708,                 1.2147,                0.47296,                 0.5675,                0.50072,                 0.2998,                 1.5356,                 1.0193,                 1.4914,              0.0088039,              0.0088039,              0.0088039
                    115,                 1.2409,                0.84843,                 1.2123,                0.68855,                0.45879,                0.43874,                0.26624,                 1.5233,                 1.0919,                 1.4855,              0.0087835,              0.0087835,              0.0087835
                    116,                 1.2407,                0.85398,                 1.2155,                0.63271,                0.50614,                0.47171,                0.27616,                  1.534,                 1.0797,                 1.5203,               0.008763,               0.008763,               0.008763
                    117,                 1.2409,                0.84258,                  1.211,                 0.5317,                0.48978,                0.49473,                0.29204,                 1.5278,                 1.0559,                 1.5088,              0.0087424,              0.0087424,              0.0087424
                    118,                 1.2639,                0.84375,                  1.223,                0.54633,                0.42732,                0.46377,                0.28068,                 1.5244,                 1.0559,                 1.4813,              0.0087216,              0.0087216,              0.0087216
                    119,                 1.2195,                0.82492,                 1.2129,                0.70972,                 0.3862,                0.44148,                 0.2637,                 1.5481,                 1.0926,                 1.5151,              0.0087007,              0.0087007,              0.0087007
                    120,                 1.2234,                0.82473,                 1.2026,                0.72344,                0.45225,                0.46757,                0.27279,                 1.5446,                 1.0309,                 1.5017,              0.0086796,              0.0086796,              0.0086796
